,Date,Unix,Ticker,Price,stock_p_change,SP500,sp500_p_change,Difference,DE Ratio,Trailing P/E,Price/Sales,Price/Book,Profit Margin,Operating Margin,Return on Assets,Return on Equity,Revenue Per Share,Market Cap,Enterprise Value,Forward P/E,PEG Ratio,Enterprise Value/Revenue,Enterprise Value/EBITDA,Revenue,Gross Profit,EBITDA,Net Income Avl to Common ,Diluted EPS,Earnings Growth,Revenue Growth,Total Cash,Total Cash Per Share,Total Debt,Current Ratio,Book Value Per Share,Cash Flow,Beta,Held by Insiders,Held by Institutions,Shares Short (as of,Short Ratio,Short % of Float,Shares Short (prior ,Current Price,Shares Outstanding,Status
276,N/A,N/A,mas,N/A,N/A,N/A,N/A,N/A,24.34,25.542168674698797,N/A,75.58,6.97,15.29,13.75,2610000000.0,24.34,13287736000.0,14980000000.0,14.52,0.85,1.96,11.56,7640000000.0,2610000000.0,1300000000.0,1.66,1.66,6.50,6.50,0.50,4.2,3080000000.0,1.98,0.56,6.50,1.37,0.57,93.17,0.57,0.02,0.00,0.57,42.40,313390000.0,N/A
277,N/A,N/A,mat,N/A,N/A,N/A,N/A,N/A,248.36,27.451612903225804,N/A,4.66,343020000.0,N/A,2550000000.0,2550000000.0,14.21,5850284600.0,7740000000.0,27.45,27.81,1.59,119.85,5460000000.0,2550000000.0,64599999.99999999,0.62,0.62,37.72,37.72,594510000.0,3.13,3120000000.0,1.92,3.65,37.72,0.65,0.36,117.41,75680000.0,3.97,28.31,76800000.0,17.02,343730000.0,N/A
278,N/A,N/A,mcd,N/A,N/A,N/A,N/A,N/A,27.98,24.90423861852433,N/A,5190000000.0,22.75,36.61,10200000000.0,10200000000.0,27.98,126466221599.99998,151230000000.0,19.28,2.51,6.63,15.57,24620000000.0,10200000000.0,9710000000.0,5190000000.0,6.37,46.54,46.54,6060000000.0,3.35,28620000000.0,22820000000.0,5190000000.0,46.54,0.69,0.06,70.21,6270000.0,1.97,0.77,6110000.0,158.64,797190000.0,N/A
279,N/A,N/A,mchp,N/A,N/A,N/A,N/A,N/A,95.43,83.31683168316832,N/A,6.19,6.33,24.35,7.74,8.54,16.88,19719711000.0,21830000000.0,14.56,0.90,5.62,14.24,3410000000.0,1760000000.0,1530000000.0,245560000.0,1.01,19.20,19.20,1060000000.0,4.69,3040000000.0,2.98,13.59,1380000000.0,1.15,2.08,107.44,29210000.0,14.88,13.01,29280000.0,84.15,234340000.0,N/A
280,N/A,N/A,mck,N/A,N/A,N/A,N/A,N/A,66.81,6.578276165347406,N/A,2.63,2.34,1.38,2.91,44.39,979.46,30866400600.0,37390000000.0,11.13,2.41,0.18,9.93,198530000000.0,11270000000.0,3770000000.0,4810000000.0,22.74,51.90,7.00,4740000000.0,12.69,8960000000.0,1.07,56.87,2760000000.0,1.43,4.72,0.00,4.72,0.00,0.00,4.72,149.59,206340000.0,N/A
281,N/A,N/A,mco,N/A,N/A,N/A,N/A,N/A,22.00,59.4270462633452,N/A,2.81,23.80,43.57,16.43,2580000000.0,22.00,31911789000.0,36490000000.0,19.42,1.54,8.68,18.46,3600000000.0,2580000000.0,1980000000.0,2.81,2.81,23.70,23.70,1230000000.0,6.2,5540000000.0,1.25,2.81,23.70,1.1,0.47,91.15,0.47,0.00,0.00,0.47,166.99,191100000.0,N/A
282,N/A,N/A,mdlz,N/A,N/A,N/A,N/A,N/A,69.38,22.837696335078533,N/A,2.49,11.28,14.64,3.80,11.42,17.12,64993800000.0,82470000000.0,16.28,1.67,3.18,17.90,25900000000.0,10060000000.0,4610000000.0,2920000000.0,1.91,835.70,2.90,2590000000.0,0.53,18170000000.0,0.48,17.55,2590000000.0,0.63,0.69,77.58,13490000.0,1.7,0.92,11930000.0,43.62,1490000000.0,N/A
283,N/A,N/A,mdt,N/A,N/A,N/A,N/A,N/A,56.38,22.175824175824175,N/A,2.12,16.93,21.61,4.15,9.83,21.72,108972000000.0,126010000000.0,15.58,2.41,4.25,13.75,29710000000.0,20420000000.0,9170000000.0,5020000000.0,3.64,85.00,69.25,6880000000.0,9.99,29080000000.0,2.40,38.02,5500000000.0,0.75,0.06,83.50,12390000.0,2.35,0.91,10900000.0,80.72,1350000000.0,N/A
284,N/A,N/A,met,N/A,N/A,N/A,N/A,N/A,79.35,13.890532544378699,N/A,0.85,6.03,7.27,0.35,7.55,57.57,48828000000.0,77250000000.0,8.71,0.69,1.24,15.70,63480000000.0,22670000000.0,4920000000.0,4630000000.0,3.38,22.20,22.20,14830000000.0,16.84,46150000000.0,1.35,55.55,22.20,1.11,81.90,0.00,81.90,0.00,0.00,81.90,46.95,1040000000.0,N/A
285,N/A,N/A,mgm,N/A,N/A,N/A,N/A,N/A,110.24,10.207715133531156,N/A,2.56,18.30,14.66,3.44,19.39,18.83,19475216000.0,31060000000.0,19.01,3.03,2.88,12.08,9460000000.0,3960000000.0,2570000000.0,1970000000.0,3.37,9.80,9.80,1530000000.0,2.65,12910000000.0,0.77,13.41,9.80,1.68,6.97,84.54,1.92,0.00,0.00,6.97,34.40,566140000.0,N/A
286,N/A,N/A,mkc,N/A,N/A,N/A,N/A,N/A,195.64,27.973118279569892,N/A,5.33,9.88,16.29,6.55,22.68,38.12,12601666000.0,18560000000.0,19.60,2.08,3.84,20.66,4830000000.0,2009999999.9999998,898300000.0,477400000.0,3.72,7.70,21.50,815300000.0,1.42,5030000000.0,0.83,19.54,815300000.0,0.32,0.09,88.69,8260000.0,9.17,0.00,7390000.0,104.06,121100000.0,N/A
287,N/A,N/A,mmc,N/A,N/A,N/A,N/A,N/A,73.73,28.83623693379791,N/A,5.66,10.64,20.36,9.24,22.02,27.34,456007600.0,46790000000.0,17.35,1.97,3.34,14.05,13210000000.0,13210000000.0,3330000000.0,1490000000.0,2.87,9.50,9.50,2009999999.9999998,2.37,5490000000.0,1.30,14.62,9.50,0.9,0.19,87.13,5510000.0,3.06,1.07,5790000.0,82.76,5510000.0,N/A
288,N/A,N/A,mmm,N/A,N/A,N/A,N/A,N/A,120.54,29.278688524590166,N/A,11.95,15.35,23.16,12.93,44.33,52.98,138263190000.0,149860000000.0,20.21,2.24,4.73,16.88,31660000000.0,15660000000.0,8880000000.0,4860000000.0,7.93,9.00,9.00,6240000000.0,6.93,14010000000.0,1.86,19.44,6240000000.0,0.97,9.74,10.42,9.74,0.00,0.00,9.74,232.18,595500000.0,N/A
289,N/A,N/A,mnst,N/A,N/A,N/A,N/A,N/A,5.83,47.459854014598534,N/A,9.73,23.92,38.39,17.77,22.11,5.83,36668679200.0,35830000000.0,34.96,2.15,10.82,27.19,3050000000.0,1940000000.0,1320000000.0,792300000.0,1.37,15.20,15.40,701360000.0,1.94,2.73,3.24,6.68,1070000000.0000001,1.01,24.95,66.12,6280000.0,3.03,1.52,4890000.0,65.02,563960000.0,N/A
290,N/A,N/A,mo,N/A,N/A,N/A,N/A,N/A,90.11,12.03954802259887,N/A,7.89,52.44,49.79,13.61,72.46,10.15,121467000000.0,136940000000.0,14.70,2.03,7.03,13.81,25740000000.0,11590000000.0,9910000000.0,10210000000.0,5.31,61.54,61.54,3790000000.0,0.66,13890000000.0,0.64,8.10,4920000000.0,0.46,0.13,63.88,11650000.0,1.8,0.60,11810000.0,63.93,1900000000.0,N/A
291,N/A,N/A,mon,N/A,N/A,N/A,N/A,N/A,122.71,22.2987012987013,N/A,8.02,16.38,23.16,9.62,43.60,33.34,52979752000.0,58110000000.0,19.23,2.61,3.97,14.03,14640000000.0,7940000000.0,4139999999.9999995,2400000000.0,5.39,477.50,0.30,3230000000.0,6.92,8119999999.999999,1.28,14.98,3060000000.0,0.97,87.63,0.18,6.5,0.75,0.00,87.63,120.19,440800000.0,N/A
292,N/A,N/A,mos,N/A,N/A,N/A,N/A,N/A,54.23,15.691428571428572,N/A,1.00,318840000.0,6.66,1.74,935500000.0,21.11,10578415800.0,12470000000.0,15.69,1.57,1.68,10.59,7160000000.0,35800000.0,1180000000.0,1.75,1.75,12.30,12.30,1270000000.0,6.13,5230000000.0,2.27,27.40,935500000.0,1.73,9.92,82.86,20990000.0,3.96,5.71,20990000.0,27.46,385230000.0,N/A
293,N/A,N/A,mpc,N/A,N/A,N/A,N/A,N/A,61.45,21.038095238095238,N/A,2.55,5.10,5.43,18.11,18.11,132.73,819097200.0,43710000000.0,11.03,0.41,0.65,7.60,63340000000.0,13660000000.0,5750000000.0,3430000000.0,3.15,856.80,24.70,3990000000.0,4.3,12780000000.0,67290000000.00001,25.96,856.80,1.74,66.72,0.00,12360000.0,2.98,2.66,8970000.0,66.27,12360000.0,N/A
294,N/A,N/A,mrk,N/A,N/A,N/A,N/A,N/A,70.19,58.65591397849462,N/A,3.89,6.40,20.31,6.58,6.58,14.60,148376000000.0,169180000000.0,12.43,2.48,4.22,13.27,39810000000.0,25920000000.0,12750000000.0,2570000000.0,0.93,3.10,3.10,10380000000.0,4.11,27020000000.0,40120000000.0,14.03,3.10,0.98,0.05,75.63,20330000.0,1.47,0.74,16960000.0,54.55,2720000000.0,N/A
295,N/A,N/A,mro,N/A,N/A,N/A,N/A,N/A,55.10,28.867924528301888,N/A,1.10,847760000.0,N/A,2720000000.0,2720000000.0,5.24,12999798000.0,18160000000.0,28.87,4.08,4.08,6.65,4030000000.0000005,2720000000.0,2730000000.0,0.53,0.53,5.00,5.00,1070000000.0000001,2.11,6490000000.0,4450000000.0,13.85,5.00,2.99,0.23,82.63,27860000.0,2.07,3.73,35360000.0,15.30,849660000.0,N/A
296,N/A,N/A,ms,N/A,N/A,N/A,N/A,N/A,375.96,17.831715210355988,N/A,1.42,16.22,33.70,7.98,7.98,21.32,98629000000.0,10.87,10.87,0.59,18.36,18.36,34630000000.0,34630000000.0,301200000000.0,5650000000.0,3.09,5.30,5.30,2450000000.0,316.47,301200000000.0,37940000000.0,38.87,5.30,1.52,24.08,62.50,12180000.0,1.46,0.97,15230000.0,55.10,1790000000.0,N/A
297,N/A,N/A,msft,N/A,N/A,N/A,N/A,N/A,118.92,74.3821138211382,N/A,9.00,9.98,25.51,6.35,12.97,12.40,704473000000.0,663030000000.0,23.28,2.29,6.93,19.94,89950000000.0,55690000000.0,33250000000.0,9540000000.0,1.23,12.00,12.00,39510000000.0,17.99,93190000000.0,2.88,10.17,41980000000.0,1.37,1.39,75.31,50550000.0,2.26,0.67,53330000.0,91.49,7700000000.0,N/A
