,Date,Unix,Ticker,Price,stock_p_change,SP500,sp500_p_change,Difference,DE Ratio,Trailing P/E,Price/Sales,Price/Book,Profit Margin,Operating Margin,Return on Assets,Return on Equity,Revenue Per Share,Market Cap,Enterprise Value,Forward P/E,PEG Ratio,Enterprise Value/Revenue,Enterprise Value/EBITDA,Revenue,Gross Profit,EBITDA,Net Income Avl to Common ,Diluted EPS,Earnings Growth,Revenue Growth,Total Cash,Total Cash Per Share,Total Debt,Current Ratio,Book Value Per Share,Cash Flow,Beta,Held by Insiders,Held by Institutions,Shares Short (as of,Short Ratio,Short % of Float,Shares Short (prior ,Current Price,Shares Outstanding,Status
369,N/A,N/A,rdc,N/A,N/A,N/A,N/A,N/A,47.41,2.718681318681319,N/A,0.29,115310000.0,11.27,1.11,1060000000.0,10.63,1561712500.0,2900000000.0,115310000.0,4.55,2.17,5.22,1840000000.0,1060000000.0,556500000.0,4.55,4.55,48.82,48.82,900600000.0,9.66,2510000000.0,5.80,41.96,448100000.0,2.14,0.56,106.46,19420000.0,5.85,17.25,21180000.0,12.37,126250000.0,N/A
370,N/A,N/A,rf,N/A,N/A,N/A,N/A,N/A,4.70,19.62,N/A,1.45,22.68,34.15,1.00,7.65,4.70,22170600000.0,26520000000.0,13.26,1.61,4.76,26.63,5970000000.0,3620000000.0,8630000000.0,1190000000.0,1.00,18.80,11.50,1950000000.0,3.68,8630000000.0,5570000000.0,13.56,18.80,1.43,0.47,76.17,24450000.0,1.88,2.29,20740000.0,19.62,1130000000.0,N/A
371,N/A,N/A,rhi,N/A,N/A,N/A,N/A,N/A,0.08,24.70815450643777,N/A,6.24,5.52,9.79,26.10,26.10,42.42,7090321200.0,6580000000.0,16.22,1.45,1.25,11.31,5250000000.0,2160000000.0,581130000.0,290580000.0,2.33,6.40,6.40,442080000.0,2.83,5270000000.0,5270000000.0,9.22,6.40,1.39,3.30,87.58,2640000.0,2.6,2.40,3090000.0,57.57,123160000.0,N/A
372,N/A,N/A,rl,N/A,N/A,N/A,N/A,N/A,27.12,17.28849270664506,N/A,2.55,54740000.0,10.93,6.98,3650000000.0,76.02,5910584700.0,7450000000.0,17.29,3.68,1.20,7.65,6650000000.0,3650000000.0,974700000.0,6.17,6.17,59.69,59.69,952300000.0,25.07,1.50,2.07,41.91,1050000000.0,0.2,0.48,113.37,8119999.999999999,4.67,16.42,7250000.0,106.67,55410000.0,N/A
373,N/A,N/A,rok,N/A,N/A,N/A,N/A,N/A,96.43,63.65051903114186,N/A,10.90,5.85,16.81,9.45,17.81,49.91,23505131000.0,23140000000.0,21.02,2.25,3.61,18.73,6310000000.0,2620000000.0,1240000000.0,374100000.0,2.89,6.50,6.50,1030000000.0,20.72,2080000000.0,1.98,16.87,935900000.0,0.99,0.59,75.10,1010000.0,1.18,1.22,1560000.0,183.95,127780000.0,N/A
374,N/A,N/A,rop,N/A,N/A,N/A,N/A,N/A,75.11,29.6517571884984,N/A,4.15,21.09,26.27,5.28,15.36,45.10,28500094800.0,32820000000.0,23.24,2.54,7.12,21.10,3790000000.0,2330000000.0,1560000000.0,971770000.0,9.39,139.90,21.30,963780000.0,6.56,5160000000.0,0.87,67.03,1230000000.0,1.39,2.20,97.55,2320000.0,6.64,2.64,1940000.0,278.43,102360000.0,N/A
375,N/A,N/A,rost,N/A,N/A,N/A,N/A,N/A,13.88,24.881789137380192,N/A,10.41,8.93,14.24,21.74,44.03,35.33,29761842000.0,29890000000.0,19.97,2.37,2.20,13.35,12870000000.0,3690000000.0,2240000000.0,1210000000.0,3.13,16.10,7.80,1560000000.0,2.99,396850000.0,1.57,7.48,1700000000.0,0.89,2.19,92.12,10560000.0,4.59,2.76,11520000.0,77.88,382150000.0,N/A
376,N/A,N/A,rrc,N/A,N/A,N/A,N/A,N/A,71.91,15.200000000000001,N/A,0.57,242880000.0,5.93,0.73,530159999.99999994,9.17,3155193200.0,7220000000.0,15.20,0.09,3.21,8.33,1360000000.0,530159999.99999994,867040000.0,0.85,0.85,63.70,63.70,387070000.0,867040000.0,3980000000.0,0.50,22.67,781760000.0,0.35,1.07,99.11,29580000.0,4.17,12.06,34460000.0,12.92,244210000.0,N/A
377,N/A,N/A,rsg,N/A,N/A,N/A,N/A,N/A,102.84,17.22546419098143,N/A,2.71,12.73,16.47,4.95,16.34,29.79,21508777400.0,29680000000.0,19.10,1.52,2.96,10.72,10040000000.0,3830000000.0,2770000000.0,1280000000.0,3.77,258.10,7.60,1910000000.0,0.25,8189999999.999999,0.55,23.99,1910000000.0,0.48,0.17,95.50,4390000.0,3.5,1.91,3780000.0,64.94,331210000.0,N/A
378,N/A,N/A,rtn,N/A,N/A,N/A,N/A,N/A,48.21,31.050359712230218,N/A,6.25,7.99,13.09,6.79,18.96,88.14,62260458000.0,64120000000.00001,19.48,0.98,2.53,16.89,25350000000.0,6270000000.0,3800000000.0,6.95,6.95,8.00,8.00,2750000000.0,11.78,5050000000.0,1.54,34.55,2740000000.0,0.76,0.17,74.64,0.17,0.00,0.00,0.17,215.80,288510000.0,N/A
379,N/A,N/A,s,N/A,N/A,N/A,N/A,N/A,140.13,3.092485549132948,N/A,0.82,21.41,9.17,2.31,31.04,8.23,546609500.0,54060000000.0,21.41,0.79,1.64,4.72,33350000000.0,18410000000.0,11440000000.0,7040000000.0,1.73,59.13,59.13,4170000000.0,1.15,36860000000.0,0.92,6.55,5670000000.0,0.53,0.17,17.10,102170000.0,5.09,15.94,95710000.0,5.35,102170000.0,N/A
380,N/A,N/A,sbux,N/A,N/A,N/A,N/A,N/A,85.37,18.576158940397352,N/A,13.73,19.28,17.18,15.00,75.83,15.78,79101000000.0,79820000000.0,20.04,1.45,3.51,16.02,22390000000.0,13350000000.0,4980000000.0,4380000000.0,3.02,207.80,5.90,4170000000.0,2.68,4920000000.0,1.01,4.09,4480000000.0,0.63,2.83,75.71,24180000.0,2.29,1.71,22540000.0,56.10,1410000000.0,N/A
381,N/A,N/A,scg,N/A,N/A,N/A,N/A,N/A,135.82,11.52063492063492,N/A,0.90,10.45,26.67,3.73,7.85,30.13,5186566800.0,12220000000.0,11.34,2.26,2.84,7.66,4230000000.0000005,1780000000.0,1600000000.0,3.15,3.15,41.58,41.58,1090000000.0,7.09,7860000000.0,0.88,40.47,1340000000.0,40.47,5.26,73.25,4520000.0,1.96,3.44,3380000.0,36.29,142920000.0,N/A
382,N/A,N/A,schl,N/A,N/A,N/A,N/A,N/A,0.87,78.04166666666667,N/A,1.00,1.07,4.62,2.46,1.36,46.38,1245170400.0000002,928650000.0,26.01,3.23,0.57,9.07,1740000000.0,927100000.0,102400000.0,17500000.0,0.48,54.28,54.28,141400000.0,11.11,11300000.0,2.00,37.33,95600000.0,0.76,11.03,89.32,1030000.0,9.65,3.60,1560000.0,37.46,33240000.000000004,N/A
383,N/A,N/A,schw,N/A,N/A,N/A,N/A,N/A,45.86,32.48447204968944,N/A,4.60,27.31,42.35,13.67,13.67,6.44,70082000000.0,49820000000.0,18.48,0.73,5.78,25.76,7480000000.0,7480000000.0,8270000000.0,2180000000.0,1.61,13.90,14.60,2660000000.0,21.34,8270000000.0,8620000000.0,11.38,13.90,1.82,11.28,81.50,21930000.0,4.08,1.86,21100000.0,52.30,1340000000.0,N/A
384,N/A,N/A,sd,N/A,N/A,N/A,N/A,N/A,4.38,0.1935404034154189,N/A,0.63,686.54,20.85,3.02,237660000.0,11.84,534575200.0,429650000.0,8.79,2.16,1.23,2.03,392260000.0,237660000.0,211270000.0,2410000000.0,80.81,70.90,70.90,30600000.0,4.03,37600000.0,1.12,25.01,165460000.0,25.01,7.88,94.74,1350000.0,3.32,5.05,1340000.0,15.64,34180000.0,N/A
385,N/A,N/A,se,N/A,N/A,N/A,N/A,N/A,2.16,2.069421487603306,N/A,6.05,65870000.00000001,N/A,113070000.0,113070000.0,2.16,4094540800.0,2290000000.0,65870000.00000001,6.05,6.05,14.96,345670000.0,113070000.0,676390000.0,6.05,6.05,3.90,3.90,3210000.0,3.27,676390000.0,1.93,6.05,3.90,6.05,0.36,44.54,2020000.0,0.56,0.00,1590000.0,12.52,327040000.0,N/A
386,N/A,N/A,see,N/A,N/A,N/A,N/A,N/A,23.87,9.791183294663576,N/A,48.56,18.26,13.63,6.00,16.48,23.87,7612458000.000001,10040000000.0,14.96,0.90,2.25,13.26,6780000000.0,2530000000.0,757100000.0,62800000.0,4.31,31.76,31.76,906900000.0,3.39,3260000000.0,1.35,0.87,397900000.0,0.8,0.93,93.91,7250000.0,3.53,4.17,6330000.0,42.20,180390000.0,N/A
387,N/A,N/A,sfly,N/A,N/A,N/A,N/A,N/A,128.69,86.77272727272727,N/A,4.48,2.53,7.28,3.97,5.42,35.94,2466427999.9999995,2470000000.0,31.17,1.01,2.07,12.94,1130000000.0,568110000.0,190530000.0,30090000.0,0.88,28.40,5.80,193420000.0,20.68,708710000.0,1.40,17.05,239520000.0,1.67,1.12,118.22,6090000.0,6.47,24.63,5540000.0,76.36,32299999.999999996,N/A
388,N/A,N/A,shw,N/A,N/A,N/A,N/A,N/A,399.47,21.271023031601498,N/A,13.47,11.83,11.80,78.53,78.53,161.27,37135626300.0,47990000000.0,18.20,1.15,3.20,22.40,11860000000.0,5920000000.0,2140000000.0000002,1810000000.0,18.67,337.60,43.00,1310000000.0,2.23,10950000000.0,14980000000.0,29.48,337.60,1.45,12.36,77.37,1530000.0,3.3,1.88,1740000.0,397.13,93510000.0,N/A
389,N/A,N/A,siri,N/A,N/A,N/A,N/A,N/A,1.17,43.857142857142854,N/A,647910000.0,11.94,31.09,12.91,2820000000.0,1.17,27568600000.0,34119999999.999996,21.91,1.09,6.29,17.19,5430000000.0,2820000000.0,1990000000.0,647910000.0,0.14,7.70,7.70,1860000000.0,0.01,6750000000.0,0.17,647910000.0,1860000000.0,1.36,71.29,20.59,216220000.0,12.35,14.49,223130000.0,6.14,4490000000.0,N/A
390,N/A,N/A,sjm,N/A,N/A,N/A,N/A,N/A,63.33,10.904332129963898,N/A,1.75,17.16,16.52,4.88,16.79,64.96,13725152000.0,18750000000.0,13.29,2.19,2.55,11.49,7390000000.0,2840000000.0,1630000000.0,1260000000.0,11.08,532.90,1.30,1060000000.0,1.65,4940000000.0,1.48,69.06,1170000000.0,0.44,4.37,79.09,7810000.0,6.74,7.98,7730000.0,120.82,113600000.0,N/A
391,N/A,N/A,slb,N/A,N/A,N/A,N/A,N/A,48.84,20.251572327044027,N/A,2.42,1380000000.0,9.60,2.44,3900000000.0,21.93,88872000000.00002,104840000000.0,20.25,0.55,3.44,15.51,30440000000.0,3900000000.0,6760000000.0,3.18,3.18,15.10,15.10,5660000000.0,3.68,18200000000.0,1.21,26.62,5660000000.0,0.95,0.08,81.62,19820000.0,2.06,1.42,21320000.0,64.40,1380000000.0,N/A
392,N/A,N/A,slm,N/A,N/A,N/A,N/A,N/A,132.37,17.725806451612904,N/A,2.29,30.72,52.25,1.43,11.99,2.18,4746471100.0,6620000000.0,9.24,0.44,7.04,14.96,1150000000.0,385410000.0,3280000000.0,273220000.0,0.62,9.60,9.60,42690000.0,3.55,3280000000.0,1.37,4.80,9.60,1.25,0.98,101.63,17310000.0,5.35,4.56,17450000.0,10.99,431890000.0,N/A
393,N/A,N/A,sna,N/A,N/A,N/A,N/A,N/A,40.50,16.605042016806724,N/A,3.03,13.94,23.19,11.63,20.41,69.69,8966297600.0,10240000000.0,12.66,0.92,2.56,10.18,3710000000.0,1910000000.0,1010000000.0,557700000.0,9.52,9.40,9.40,576100000.0,1.62,1200000000.0,1.78,52.11,608500000.0,0.94,1.10,103.63,1.10,0.00,0.00,1.10,158.08,56720000.0,N/A
394,N/A,N/A,sne,N/A,N/A,N/A,N/A,N/A,36.93,13.12997347480106,N/A,2.27,6.30,11.22,3.21,17.51,63.37,62370000000.0,55630000000.0,16.34,0.17,0.69,4.75,68230000000.00001,17410000000.0,11700000000.0,5040000000.0,3.77,11.50,11.50,7260000000.0,15.82,12980000000.0,0.92,21.84,10900000000.0,2.08,0.00,7.07,1410000.0,1.14,0.00,647.16,49.50,1260000000.0,N/A
395,N/A,N/A,sni,N/A,N/A,N/A,N/A,N/A,89.70,18.869379014989295,N/A,4.29,17.46,39.26,13.07,29.81,26.87,8465688400.0,13960000000.0,15.74,2.24,3.99,9.16,3400000000.0,2210000000.0,1520000000.0,610160000.0,4.67,2.80,2.80,948830000.0,0.88,2670000000.0,3.18,20.55,1060000000.0,1.46,9.50,88.63,4610000.0,4.01,5.26,2550000.0,88.12,96070000.0,N/A
396,N/A,N/A,so,N/A,N/A,N/A,N/A,N/A,190.25,79.48148148148148,N/A,1.79,2.41,10.88,1.42,2.23,22.70,954970000.0,93020000000.0,14.35,6.53,4.12,15.94,19900000000.0,8670000000.0,5830000000.0,0.54,0.54,44.21,44.21,4890000000.0,1.83,50150000000.0,0.73,24.00,5850000000.0,24.00,0.05,59.61,22250000.0,5.32,2.24,21700000.0,42.92,22250000.0,N/A
397,N/A,N/A,spg,N/A,N/A,N/A,N/A,N/A,556.13,24.246794871794872,N/A,12.92,35.46,51.02,5.53,47.13,17.63,47078508000.0,71720000000.0,21.25,2.72,13.06,17.27,5440000000.0,4460000000.0,4150000000.0000005,1940000000.0,6.24,46.10,81.95,3370000000.0,4.76,24630000000.0,0.83,11.71,46.10,0.62,0.68,96.43,16570000.0,8.69,6.24,14930000.0,151.30,311160000.0,N/A
398,N/A,N/A,srcl,N/A,N/A,N/A,N/A,N/A,98.57,16.0406852248394,N/A,2.28,84310000.0,14.31,4.57,1500000000.0,42.23,6395066700.0,9220000000.0,16.04,2.40,2.56,12.32,3560000000.0,1500000000.0,748190000.0,4.67,4.67,44.03,44.03,547250000.0,0.61,2780000000.0,0.82,32.89,521520000.0,0.13,1.28,98.21,1.28,0.00,0.00,1.28,74.91,85370000.0,N/A
399,N/A,N/A,sre,N/A,N/A,N/A,N/A,N/A,122.04,23.376940133037696,N/A,1.99,10.22,20.92,3.04,8.43,44.23,29333788900.0,45750000000.0,19.13,2.07,4.12,12.13,10180000000.0,3360000000.0,3770000000.0,1140000000.0,4.51,5.70,5.70,2320000000.0,0.75,18920000000.0,0.40,52.85,3340000000.0,0.51,0.14,91.92,0.14,0.00,0.00,0.14,105.43,278230000.0,N/A
400,N/A,N/A,sti,N/A,N/A,N/A,N/A,N/A,17.82,15.98434004474273,N/A,1.49,26.50,35.86,1.11,9.36,17.82,33647948500.0,36480000000.0,12.94,0.97,4.25,19.64,9160000000.0,5330000000.0,14570000000.0,2180000000.0,4.47,64.50,3.70,3510000000.0,25.31,14570000000.0,8580000000.0,47.82,64.50,1.45,0.30,83.40,0.30,0.00,0.00,0.30,71.45,470930000.0,N/A
401,N/A,N/A,stt,N/A,N/A,N/A,N/A,N/A,29.80,19.839694656488547,N/A,2.00,19.49,28.34,0.90,10.00,29.80,38220894000.0,12.32,12.32,0.80,29.40,29.40,10630000000.0,7660000000.0,15610000000.0,1990000000.0,5.24,12.70,12.70,2290000000.0,200.38,15610000000.0,11170000000.0,52.01,12.70,1.41,0.74,92.92,4240000.0,2.39,1.12,3840000.0,103.96,367650000.0,N/A
402,N/A,N/A,stx,N/A,N/A,N/A,N/A,N/A,459.57,23.38181818181818,N/A,13.80,6.10,12.88,9.89,50.15,36.39,14651655200.0,16969999999.999998,10.61,1.25,1.60,8.30,10770000000.0,3170000000.0,2040000000.0,2.20,2.20,0.70,0.70,1920000000.0,8.97,4880000000.0,1.58,3.73,1760000000.0,1.91,54.42,0.00,42160000.0,7.28,21.92,40320000.0,51.44,284830000.0,N/A
403,N/A,N/A,stz,N/A,N/A,N/A,N/A,N/A,116.75,23.263329706202395,N/A,5.21,24.78,32.93,7.98,24.84,38.13,36639330200.0,51510000000.0,22.36,1.53,6.92,18.83,7330000000.0,3530000000.0,2740000000.0,1850000000.0,9.19,23.20,51.03,1700000000.0,0.79,9350000000.0,1.40,41.06,1750000000.0,41.06,5.36,86.16,4970000.0,4.38,3.05,4800000.0,213.79,171380000.0,N/A
404,N/A,N/A,swk,N/A,N/A,N/A,N/A,N/A,46.17,19.942786069651746,N/A,2.90,9.62,12.49,5.74,16.71,85.19,24588139000.0,27090000000.0,16.95,1.73,2.12,13.19,11410000000.0,4269999999.9999995,2049999999.9999998,1230000000.0,8.04,8.10,16.90,1490000000.0,4.25,3830000000.0,1.05,55.28,1420000000.0,1.12,0.64,86.71,1850000.0,1.87,1.22,1440000.0,160.34,153350000.0,N/A
405,N/A,N/A,swn,N/A,N/A,N/A,N/A,N/A,268.64,5.645161290322581,N/A,0.62,16.31,21.60,5.90,36.18,6.22,2029650000.0,5240000000.0,4.55,0.95,1.70,4.70,2440000000.0,1840000000.0,1120000000.0,0.62,0.62,13.20,13.20,1250000000.0,1.97,4440000000.0,1.88,0.62,13.20,0.85,0.67,93.70,41700000.0,2.38,10.64,42500000.0,3.50,579900000.0,N/A
406,N/A,N/A,syk,N/A,N/A,N/A,N/A,N/A,72.36,58.91044776119402,N/A,5.93,8.20,22.19,8.10,10.44,33.27,59148163200.0,63860000000.0,20.24,2.24,5.13,18.76,12440000000.0,8170000000.0,3400000000.0,1020000000.0,2.68,9.90,9.90,1560000000.0,7.57,7220000000.0,2.29,26.62,1560000000.0,0.49,14.73,76.71,14.73,0.00,0.00,14.73,157.88,374640000.0,N/A
407,N/A,N/A,symc,N/A,N/A,N/A,N/A,N/A,112.69,16.685185185185183,N/A,3.39,22.24,5.17,0.93,22.63,7.71,16800226200.0,19850000000.0,14.93,1.64,4.19,23.11,4019999999.9999995,3170000000.0,5590000000.0,1010000000.0,1.62,16.10,16.10,5960000000.0,4.07,5590000000.0,1.15,7.98,1030000000.0,0.8,0.93,98.93,24640000.0,4.08,5.14,18460000.0,27.03,621540000.0,N/A
408,N/A,N/A,syy,N/A,N/A,N/A,N/A,N/A,386.03,26.857798165137613,N/A,13.66,2.10,4.04,8.03,49.22,107.46,30558415999.999996,39240000000.0,16.68,1.33,0.69,12.77,55370000000.0,10560000000.0,3070000000.0,1200000000.0,2.18,8.00,7.10,2180000000.0,1.84,8890000000.0,1.38,4.28,2470000000.0,0.35,0.27,80.82,14100000.0,5.88,2.96,15200000.0,58.55,521919999.99999994,N/A
409,N/A,N/A,t,N/A,N/A,N/A,N/A,N/A,115.73,7.628151260504202,N/A,1.58,18.34,14.86,3.52,22.43,26.05,222943400000.0,339580000000.0,10.56,1.13,2.12,7.04,163790000000.0,86900000000.0,48250000000.0,29450000000.0,4.76,679.90,51.80,39340000000.0,8.23,164350000000.0,0.97,22.94,39150000000.0,0.43,0.08,60.77,224140000.0,4.86,3.65,233080000.0,36.31,6140000000.0,N/A
410,N/A,N/A,tap,N/A,N/A,N/A,N/A,N/A,84.21,12.059724349157733,N/A,1.28,12.85,16.67,3.85,11.45,51.08,15390112500.0,28090000000.0,14.27,1.52,2.55,10.69,6220000000.0,4790000000.0,2630000000.0,1410000000.0,6.53,12.40,12.40,1870000000.0,1.94,11310000000.0,0.64,61.37,1870000000.0,0.43,11.69,86.64,3830000.0,2.51,2.23,3830000.0,78.75,195430000.0,N/A
411,N/A,N/A,tdc,N/A,N/A,N/A,N/A,N/A,116.47,21.321637426900587,N/A,6.61,120070000.0,3.29,1.79,1190000000.0,17.14,741596400.0,4139999999.9999995,21.32,3.05,1.92,19.81,2320000000.0,1190000000.0,1.55,1.71,1.71,0.00,0.00,0.16,8.99,1.55,1.65,5.52,0.00,1.37,1.11,108.14,20340000.0,13.52,20.72,19480000.0,36.46,20340000.0,N/A
412,N/A,N/A,tel,N/A,N/A,N/A,N/A,N/A,41.58,29.528901734104046,N/A,3.73,9.12,16.82,7.81,13.30,38.22,35883125700.0,39160000000.0,17.29,1.94,2.89,13.41,13110000000.0,4450000000.0,2920000000.0,1230000000.0,3.46,13.60,13.60,2320000000.0,2.01,0.85,1.58,27.41,2270000000.0,1.21,68.53,0.00,3480000.0,2.87,0.98,3140000.0,102.17,351210000.0,N/A
413,N/A,N/A,ter,N/A,N/A,N/A,N/A,N/A,18.73,34.4140625,N/A,4.42,12.06,25.25,11.48,13.63,10.79,8640848000.0,7110000000.0,14.59,0.77,3.33,10.98,1750000000.0,959570000.0,647470000.0,257690000.0,1.28,26.20,26.20,445800000.0,9.07,365990000.0,5.00,9.97,626490000.0,1.16,0.40,98.61,7990000.0,3.03,4.01,6790000.0,44.05,196160000.0,N/A
414,N/A,N/A,tgt,N/A,N/A,N/A,N/A,N/A,113.42,15.29559748427673,N/A,3.56,3.80,6.59,7.25,23.85,126.57,39658867200.0,50860000000.0,13.90,0.73,0.73,7.27,69500000000.0,20620000000.0,12630000000.0,2650000000.0,4.77,1.40,1.40,5440000000.0,5.01,12630000000.0,0.96,20.48,7040000000.0,0.51,0.12,89.86,52280000.0,7.48,9.48,53690000.0,72.96,543570000.0,N/A
415,N/A,N/A,thc,N/A,N/A,N/A,N/A,N/A,592.63,19.0,N/A,81.43,75430000.0,5.85,2.92,16500000000.0,190.10,1956217200.0,16420000000.000002,19.00,3.82,0.86,8.23,19620000000.0,16500000000.0,14880000000.0,1.02,1.02,34.99,34.99,1970000000.0,4.25,14880000000.0,1.28,0.24,34.99,1.37,2.18,122.84,2.18,0.00,0.00,2.18,19.38,100940000.0,N/A
416,N/A,N/A,tif,N/A,N/A,N/A,N/A,N/A,33.84,27.28494623655914,N/A,4.00,11.46,18.92,9.20,15.29,32.65,12614420000.0,12670000000.0,23.28,2.41,3.12,13.02,1510000000.0,2490000000.0,973600000.0,3.72,3.72,5.30,2.80,702100000.0,8.12,1070000000.0000001,5.44,25.38,726600000.0,1.51,0.79,95.20,4950000.0,4.63,4.60,4590000.0,101.50,124280000.0,N/A
417,N/A,N/A,tjx,N/A,N/A,N/A,N/A,N/A,48.00,20.497297297297298,N/A,10.32,7.01,11.27,18.11,53.67,53.56,47953632000.0,48600000000.0,16.74,1.94,1.41,10.62,33180000000.0,9620000000.0,4570000000.0,2410000000.0,3.70,20.50,5.70,3600000000.0,4.55,2230000000.0,1.53,7.35,3420000000.0,0.42,0.11,93.29,18080000.0,3.68,2.81,16520000.0,75.84,632300000.0,N/A
418,N/A,N/A,tm,N/A,N/A,N/A,N/A,N/A,103.47,8.938992042440319,N/A,1.11,8.25,7.55,2.78,13.38,185.76,400356000000.00006,336690000000.0,8.25,1.22,1.22,9.11,247660000000.0,43640000000.0,36940000000.0,22580000000.0,15.08,97.40,7.40,30640000000.0,37.08,191590000000.0,1.04,121.65,38540000000.0,0.95,0.00,0.76,0.00,0.00,0.00,0.00,134.80,2970000000.0,N/A
419,N/A,N/A,tmk,N/A,N/A,N/A,N/A,N/A,27.86,7.045789043336058,N/A,1.92,34.99,22.04,29.95,29.95,35.73,9948326500.0,11260000000.0,13.22,1.79,2.71,12.16,3930000000.0,1560000000.0,925800000.0,1460000000.0,12.23,677.20,8.40,1400000000.0,1.33,1440000000.0,4160000000.0,44.80,677.20,0.78,1.89,75.97,1.89,0.00,0.00,1.89,86.17,115450000.0,N/A
420,N/A,N/A,tmo,N/A,N/A,N/A,N/A,N/A,82.67,37.529516994633276,N/A,3.31,10.64,15.40,3.93,9.49,52.96,881118000.0,103020000000.0,17.41,1.63,4.93,19.63,18270000000.0,8369999999.999999,5250000000.0,2230000000.0,5.59,22.10,22.10,3160000000.0,3.33,21010000000.0,1.35,63.37,22.10,1.22,0.16,90.43,4200000.0,2.55,1.08,3970000.0,209.79,4200000.0,N/A
421,N/A,N/A,trip,N/A,N/A,N/A,N/A,N/A,19.19,90.14893617021276,N/A,4.15,4.26,8.12,3.40,4.40,10.93,5342009600.0,5400000000.0,31.86,3.11,3.48,30.84,1480000000.0,1410000000.0,2.41,0.47,0.47,4.30,4.30,0.17,5.49,2.41,2.47,10.21,4.30,1.77,14.88,98.73,21800000.0,4.42,22.50,19610000.0,42.37,126080000.0,N/A
422,N/A,N/A,trow,N/A,N/A,N/A,N/A,N/A,19.87,18.417085427135678,N/A,4.63,31.25,42.95,18.70,25.27,19.87,26876178000.0,24600000000.0,14.45,0.98,5.13,11.17,4219999999.9999995,4219999999.9999995,2200000000.0,1460000000.0,5.97,17.90,17.90,170500000.0,9.27,4.33,4.33,23.76,229500000.0,1.15,3.85,74.08,9430000.0,7.09,4.01,10290000.0,109.95,244440000.0,N/A
423,N/A,N/A,trv,N/A,N/A,N/A,N/A,N/A,27.69,18.900409276944064,N/A,1.58,7.11,10.72,1.90,8.76,104.72,37603912200.0,39190000000.0,12.18,0.54,1.36,10.02,28900000000.0,11440000000.0,3910000000.0,2040000000.0,7.33,5.40,5.40,3760000000.0,19.3,6570000000.0,0.41,87.44,3760000000.0,1.24,0.59,82.59,5840000.0,3.33,2.10,5430000.0,138.54,271430000.0,N/A
424,N/A,N/A,tsla,N/A,N/A,N/A,N/A,N/A,183.14,137.72727272727275,N/A,13.21,125280000.0,N/A,1600000000.0,1600000000.0,70.94,56287704000.0,63190000000.0,137.73,5.37,5.37,22.40,5400000000.0,1600000000.0,3920000.0,2.42,2.42,43.90,43.90,16670000.000000002,20.05,10310000000.0,0.86,25.22,43.90,0.67,25.42,61.32,30130000.0,4.7,28.74,28090000.0,333.30,168880000.0,N/A
425,N/A,N/A,tsn,N/A,N/A,N/A,N/A,N/A,80.89,9.908015768725361,N/A,2.32,7.15,8.06,7.87,26.14,107.47,22431500000.0,37370000000.0,10.99,0.92,0.95,9.50,38260000000.0,5080000000.0,3930000000.0,2810000000.0,7.61,176.70,11.40,2600000000.0,0.8,9690000000.0,1.51,32.53,2590000000.0,0.17,2.07,90.88,2.07,0.00,0.00,2.07,75.40,297500000.0,N/A
426,N/A,N/A,tss,N/A,N/A,N/A,N/A,N/A,135.52,27.39240506329114,N/A,6.75,11.90,15.17,7.38,26.43,26.82,15914056000.0,18640000000.0,18.30,1.42,3.78,16.16,4170000000.0,1180000000.0,1150000000.0,586190000.0,3.16,226.80,12.50,717910000.0,2.47,3190000000.0,1.09,12.82,856490000.0,1.38,1.97,78.37,2160000.0,1.73,1.20,2620000.0,86.56,183850000.0,N/A
427,N/A,N/A,twx,N/A,N/A,N/A,N/A,N/A,83.57,14.27710843373494,N/A,2.61,16.78,26.49,7.66,19.87,40.27,1488360000.0,95510000000.0,11.72,1.23,3.05,10.64,29320000000.0,12940000000.0,8980000000.0,5250000000.0,6.64,368.10,9.10,4680000000.0,3.36,23740000000.0,1.08,36.38,5080000000.0,0.86,0.18,81.97,15700000.0,1.23,2.03,13390000.0,94.80,15700000.0,N/A
428,N/A,N/A,txn,N/A,N/A,N/A,N/A,N/A,39.44,28.714681440443215,N/A,9.86,24.61,40.73,22.36,35.39,15.10,101914365600.0,103120000000.0,18.28,1.71,6.89,14.84,13370000000.0,8240000000.0,6950000000.0,3680000000.0,3.61,9.80,9.80,4610000000.0,4.55,4080000000.0,3.87,10.51,5360000000.0,1.25,0.10,86.59,11010000.0,2.52,1.25,9720000.0,103.66,983160000.0,N/A
429,N/A,N/A,txt,N/A,N/A,N/A,N/A,N/A,71.56,25.766233766233768,N/A,2.69,2.16,7.30,4.22,5.45,52.83,15580550399.999998,18680000000.0,16.81,1.93,1.32,12.59,14200000000.0,2400000000.0,1480000000.0,2.31,2.31,5.00,5.00,1010000000.0,4.1,4040000000.0,1.92,22.09,5.00,1.47,0.14,85.06,5870000.0,3.71,2.53,7170000.0,59.52,261769999.99999997,N/A
430,N/A,N/A,ua,N/A,N/A,N/A,N/A,N/A,50.86,47.875,N/A,3.22,2.91,6.52,5.13,7.10,11.18,3402878400.0,6490000000.0,40.32,14.68,1.32,13.28,4830000000.0,2240000000.0,488400000.0,142890000.0,0.32,45.49,45.49,304490000.0,0.58,1070000000.0000001,2.23,4.76,311330000.0,4.76,15.76,65.29,33420000.0,4.02,0.00,32530000.0,15.32,222120000.0,N/A
